"","Year","Country.or.territory.of.asylum.or.residence","Country.or.territory.of.origin","Refugees","Refugees.assisted.by.UNHCR","Total.refugees.and.people.in.refugee.like.situations","Total.refugees.and.people.in.refugee.like.situations.assisted.by.UNHCR"
"896","1981","ECU","COL","50",NA,"50",NA
"1215","1982","MEX","COL","100",NA,"100",NA
"1416","1983","ECU","COL",NA,NA,NA,NA
"1572","1983","MEX","COL",NA,NA,NA,NA
"2094","1985","ECU","COL","60",NA,"60",NA
"2400","1986","ECU","COL","50",NA,"50",NA
"2688","1987","ECU","COL","50",NA,"50",NA
"2990","1988","GBR","COL","35",NA,"35",NA
"3444","1989","GBR","COL","65",NA,"65",NA
"3554","1989","ITA","COL","1",NA,"1",NA
"3896","1990","ECU","COL","70",NA,"70",NA
"3921","1990","GBR","COL","93",NA,"93",NA
"4030","1990","ITA","COL","1",NA,"1",NA
"4181","1990","SWE","COL","311",NA,"311",NA
"4276","1990","USA","COL","19",NA,"19",NA
"4478","1991","ECU","COL","120",NA,"120",NA
"4499","1991","GBR","COL","123",NA,"123",NA
"4610","1991","ITA","COL","2",NA,"2",NA
"4755","1991","SPA","COL","35",NA,"35",NA
"4814","1991","SWE","COL","441",NA,"441",NA
"4924","1991","USA","COL","19",NA,"19",NA
"5138","1992","ECU","COL","80",NA,"80",NA
"5161","1992","GBR","COL","133",NA,"133",NA
"5270","1992","ITA","COL","2",NA,"2",NA
"5380","1992","NET","COL","12",NA,"12",NA
"5509","1992","SPA","COL","35",NA,"35",NA
"5573","1992","SWE","COL","546",NA,"546",NA
"5696","1992","USA","COL","35",NA,"35",NA
"5803","1993","ARG","COL","1",NA,"1",NA
"5956","1993","CHL","COL","4",NA,"4",NA
"6102","1993","ECU","COL","92",NA,"92",NA
"6147","1993","GBR","COL","141",NA,"141",NA
"6368","1993","ITA","COL","2",NA,"2",NA
"6483","1993","MEX","COL","75",NA,"75",NA
"6562","1993","NET","COL","12",NA,"12",NA
"6794","1993","SPA","COL","36",NA,"36",NA
"6895","1993","SWE","COL","578",NA,"578",NA
"7066","1993","URU","COL","23",NA,"23",NA
"7095","1993","USA","COL","71",NA,"71",NA
"7153","1993","VEN","COL","7",NA,"7",NA
"7396","1994","CAN","COL","101",NA,"101",NA
"7555","1994","CHL","COL","4",NA,"4",NA
"7708","1994","ECU","COL","112",NA,"112",NA
"7754","1994","GBR","COL","156",NA,"156",NA
"7965","1994","ITA","COL","2",NA,"2",NA
"8114","1994","MEX","COL","74",NA,"74",NA
"8211","1994","NET","COL","12",NA,"12",NA
"8353","1994","PER","COL","1",NA,"1",NA
"8437","1994","SPA","COL","43",NA,"43",NA
"8545","1994","SWE","COL","686",NA,"686",NA
"8743","1994","URU","COL","18",NA,"18",NA
"8773","1994","USA","COL","140",NA,"140",NA
"8836","1994","VEN","COL","14",NA,"14",NA
"9083","1995","CAN","COL","112",NA,"112",NA
"9233","1995","CHL","COL","12",NA,"12",NA
"9270","1995","COS","COL","34",NA,"34",NA
"9371","1995","ECU","COL","92",NA,"92",NA
"9419","1995","FRA","COL","352",NA,"352",NA
"9536","1995","GBR","COL","159",NA,"159",NA
"9595","1995","GUA","COL","1",NA,"1",NA
"9687","1995","ITA","COL","4",NA,"4",NA
"9814","1995","MEX","COL","88",NA,"88",NA
"9926","1995","NET","COL","13",NA,"13",NA
"10196","1995","SPA","COL","45",NA,"45",NA
"10312","1995","SWE","COL","711",NA,"711",NA
"10512","1995","URU","COL","15",NA,"15",NA
"10543","1995","USA","COL","250",NA,"250",NA
"10648","1995","VEN","COL","14",NA,"14",NA
"10760","1996","AUL","COL","13",NA,"13",NA
"11024","1996","CAN","COL","132",NA,"132",NA
"11173","1996","CHL","COL","12",NA,"12",NA
"11216","1996","COS","COL","52",NA,"52",NA
"11332","1996","ECU","COL","93",NA,"93",NA
"11381","1996","FRA","COL","324",NA,"324",NA
"11496","1996","GBR","COL","168",NA,"168",NA
"11557","1996","GUA","COL","1",NA,"1",NA
"11652","1996","ITA","COL","4",NA,"4",NA
"11785","1996","MEX","COL","95",NA,"95",NA
"11897","1996","NET","COL","16",NA,"16",NA
"12063","1996","PAN","COL","7",NA,"7",NA
"12249","1996","SPA","COL","60",NA,"60",NA
"12362","1996","SWE","COL","749",NA,"749",NA
"12588","1996","URU","COL","17",NA,"17",NA
"12624","1996","USA","COL","407",NA,"407",NA
"12754","1996","VEN","COL","18",NA,"18",NA
"12873","1997","AUL","COL","37",NA,"37",NA
"13056","1997","BOL","COL","1",NA,"1",NA
"13156","1997","CAN","COL","151",NA,"151",NA
"13327","1997","CHL","COL","11",NA,"11",NA
"13531","1997","ECU","COL","104",NA,"104",NA
"13592","1997","FRA","COL","318",NA,"318",NA
"13680","1997","GBR","COL","203",NA,"203",NA
"13759","1997","GUA","COL","1",NA,"1",NA
"13890","1997","ITA","COL","4",NA,"4",NA
"14045","1997","MEX","COL","82",NA,"82",NA
"14185","1997","NET","COL","15",NA,"15",NA
"14345","1997","NOR","COL","43",NA,"43",NA
"14456","1997","PAN","COL","10",NA,"10",NA
"14692","1997","SPA","COL","73",NA,"73",NA
"14823","1997","SWE","COL","800",NA,"800",NA
"15067","1997","URU","COL","19",NA,"19",NA
"15109","1997","USA","COL","488",NA,"488",NA
"15247","1997","VEN","COL","17",NA,"17",NA
"15345","1998","ARG","COL","22",NA,"22",NA
"15399","1998","AUL","COL","94",NA,"94",NA
"15506","1998","AUS","COL","13",NA,"13",NA
"15588","1998","BEL","COL","71",NA,"71",NA
"15704","1998","BOL","COL","5",NA,"5",NA
"15726","1998","BRA","COL","4",NA,"4",NA
"15824","1998","CAN","COL","235",NA,"235",NA
"15999","1998","CHL","COL","6",NA,"6",NA
"16127","1998","DEN","COL","2",NA,"2",NA
"16207","1998","ECU","COL","123",NA,"123",NA
"16326","1998","FRA","COL","295",NA,"295",NA
"16454","1998","GBR","COL","405",NA,"405",NA
"16671","1998","ITA","COL","5",NA,"5",NA
"16844","1998","MEX","COL","50",NA,"50",NA
"16976","1998","NET","COL","15",NA,"15",NA
"17139","1998","NOR","COL","44",NA,"44",NA
"17259","1998","PAN","COL","564",NA,"564",NA
"17286","1998","PER","COL","1",NA,"1",NA
"17497","1998","SPA","COL","85",NA,"85",NA
"17632","1998","SWE","COL","773",NA,"773",NA
"17752","1998","SWI","COL","103",NA,"103",NA
"17970","1998","URU","COL","9",NA,"9",NA
"18018","1998","USA","COL","594",NA,"594",NA
"18150","1998","VEN","COL","20",NA,"20",NA
"18255","1999","ARG","COL","22","22","22","22"
"18317","1999","AUL","COL","137",NA,"137",NA
"18432","1999","AUS","COL","18",NA,"18",NA
"18519","1999","BEL","COL","60",NA,"60",NA
"18656","1999","BOL","COL","4","3","4","3"
"18678","1999","BRA","COL","4","4","4","4"
"18781","1999","CAN","COL",NA,NA,NA,NA
"18939","1999","CHL","COL","7","7","7","7"
"18994","1999","COS","COL","64",NA,"64",NA
"19081","1999","DEN","COL","2",NA,"2",NA
"19176","1999","ECU","COL","159","159","159","159"
"19297","1999","FRA","COL","265",NA,"265",NA
"19451","1999","GFR","COL",NA,NA,NA,NA
"19548","1999","GUA","COL","1","1","1","1"
"19749","1999","ISR","COL","1",NA,"1",NA
"19769","1999","ITA","COL",NA,NA,NA,NA
"19948","1999","MEX","COL","53","38","53","38"
"20087","1999","NET","COL",NA,NA,NA,NA
"20195","1999","NOR","COL","94",NA,"94",NA
"20304","1999","PAN","COL","733","733","733","733"
"20332","1999","PER","COL","4","4","4","4"
"20548","1999","SPA","COL","160",NA,"160",NA
"20685","1999","SWE","COL","715",NA,"715",NA
"20745","1999","SWI","COL","122",NA,"122",NA
"20997","1999","URU","COL","10","9","10","9"
"21047","1999","USA","COL","852",NA,"852",NA
"21192","1999","VEN","COL","50","50","50","50"
"21321","2000","ARG","COL","19","4","19","4"
"21386","2000","AUL","COL","185",NA,"185",NA
"21514","2000","AUS","COL","28",NA,"28",NA
